VARIABLES = X, Y, Z, VX, VY, VZ, PRESS, OBST
ZONE I= 128, J= 128, K= 128 F=POINT
113 1 32 0.000000 0.000000 0.000000 0.033333 1
114 1 32 0.000000 0.000000 0.000000 0.033333 1
115 1 32 0.000000 0.000000 0.000000 0.033333 1
116 1 32 0.000000 0.000000 0.000000 0.033333 1
117 1 32 0.000000 0.000000 0.000000 0.033333 1
118 1 32 0.000000 0.000000 0.000000 0.033333 1
119 1 32 0.000000 0.000000 0.000000 0.033333 1
120 1 32 0.000000 0.000000 0.000000 0.033333 1
121 1 32 0.000000 0.000000 0.000000 0.033333 1
122 1 32 0.000000 0.000000 0.000000 0.033333 1
123 1 32 0.000000 0.000000 0.000000 0.033333 1
124 1 32 0.000000 0.000000 0.000000 0.033333 1
125 1 32 0.000000 0.000000 0.000000 0.033333 1
126 1 32 0.000000 0.000000 0.000000 0.033333 1
127 1 32 0.000000 0.000000 0.000000 0.033333 1
128 1 32 0.000000 0.000000 0.000000 0.033333 1
1 2 32 -0.017014 -0.000023 -0.001351 0.033436 0
2 2 32 -0.017015 -0.000024 -0.001453 0.033438 0
3 2 32 -0.017012 -0.000025 -0.001559 0.033441 0
4 2 32 -0.017008 -0.000025 -0.001668 0.033444 0
5 2 32 -0.017002 -0.000025 -0.001781 0.033447 0
6 2 32 -0.016990 -0.000025 -0.001899 0.033449 0
7 2 32 -0.016974 -0.000026 -0.002020 0.033452 0
8 2 32 -0.016957 -0.000025 -0.002144 0.033455 0
9 2 32 -0.016933 -0.000025 -0.002274 0.033457 0
10 2 32 -0.016899 -0.000024 -0.002409 0.033459 0
11 2 32 -0.016863 -0.000024 -0.002546 0.033462 0
12 2 32 -0.016824 -0.000023 -0.002687 0.033464 0
13 2 32 -0.016766 -0.000021 -0.002836 0.033465 0
14 2 32 -0.016701 -0.000021 -0.002987 0.033466 0
15 2 32 -0.016639 -0.000020 -0.003139 0.033468 0
16 2 32 -0.016559 -0.000016 -0.003301 0.033468 0
17 2 32 -0.016450 -0.000015 -0.003467 0.033467 0
18 2 32 -0.016346 -0.000016 -0.003630 0.033468 0
19 2 32 -0.016242 -0.000009 -0.003802 0.033469 0
20 2 32 -0.016083 -0.000004 -0.003981 0.033466 0
21 2 32 -0.015904 -0.000006 -0.004154 0.033465 0
22 2 32 -0.015755 -0.000002 -0.004333 0.033467 0
23 2 32 -0.015551 0.000015 -0.004521 0.033464 0
24 2 32 -0.015264 0.000008 -0.004698 0.033459 0
25 2 32 -0.015012 0.000003 -0.004870 0.033461 0
26 2 32 -0.014777 0.000027 -0.005070 0.033460 0
27 2 32 -0.014384 0.000039 -0.005224 0.033450 0
28 2 32 -0.013936 0.000002 -0.005355 0.033448 0
29 2 32 -0.013617 0.000020 -0.005582 0.033452 0
30 2 32 -0.013178 0.000057 -0.005664 0.033439 0
31 2 32 -0.012560 0.000029 -0.005690 0.033425 0
32 2 32 -0.011948 -0.000016 -0.005861 0.033427 0
33 2 32 -0.011472 0.000066 -0.005920 0.033417 0
34 2 32 -0.010791 0.000023 -0.005673 0.033393 0
35 2 32 -0.009992 0.000003 -0.005665 0.033381 0
36 2 32 -0.009161 -0.000003 -0.005505 0.033369 0
37 2 32 -0.008505 0.000028 -0.005009 0.033343 0
38 2 32 -0.007704 0.000027 -0.004514 0.033316 0
39 2 32 -0.006738 0.000023 -0.003891 0.033294 0
40 2 32 -0.005889 -0.000027 -0.003094 0.033270 0
41 2 32 -0.005453 -0.000008 -0.001985 0.033240 0
42 2 32 -0.004978 0.000048 -0.000665 0.033210 0
43 2 32 -0.004390 -0.000054 0.000730 0.033179 0
44 2 32 -0.004195 -0.000079 0.002250 0.033154 0
45 2 32 -0.004318 -0.000127 0.003426 0.033138 0
46 2 32 -0.004480 -0.000085 0.004774 0.033111 0
47 2 32 -0.005076 -0.000030 0.005871 0.033092 0
48 2 32 -0.005592 -0.000063 0.006612 0.033087 0
49 2 32 -0.006197 -0.000054 0.007427 0.033074 0
50 2 32 -0.007154 -0.000019 0.008015 0.033059 0
51 2 32 -0.007971 -0.000009 0.008347 0.033059 0
52 2 32 -0.008700 -0.000010 0.008578 0.033057 0
53 2 32 -0.009582 -0.000014 0.008668 0.033051 0
54 2 32 -0.010376 0.000004 0.008525 0.033057 0
55 2 32 -0.011055 0.000002 0.008357 0.033059 0
56 2 32 -0.011738 -0.000003 0.008114 0.033058 0
57 2 32 -0.012320 0.000006 0.007769 0.033064 0
58 2 32 -0.012817 0.000001 0.007402 0.033072 0
59 2 32 -0.013275 -0.000015 0.007014 0.033077 0
60 2 32 -0.013678 -0.000008 0.006621 0.033082 0
61 2 32 -0.014011 -0.000013 0.006241 0.033091 0
62 2 32 -0.014292 -0.000023 0.005865 0.033101 0
63 2 32 -0.014556 -0.000030 0.005506 0.033109 0
64 2 32 -0.014788 -0.000031 0.005175 0.033117 0
65 2 32 -0.014975 -0.000034 0.004866 0.033128 0
66 2 32 -0.015147 -0.000039 0.004574 0.033138 0
67 2 32 -0.015310 -0.000042 0.004302 0.033148 0
68 2 32 -0.015449 -0.000040 0.004053 0.033158 0
69 2 32 -0.015572 -0.000041 0.003825 0.033169 0
70 2 32 -0.015687 -0.000042 0.003608 0.033179 0
71 2 32 -0.015795 -0.000042 0.003407 0.033188 0
72 2 32 -0.015892 -0.000041 0.003222 0.033198 0
73 2 32 -0.015980 -0.000042 0.003050 0.033208 0
74 2 32 -0.016067 -0.000042 0.002887 0.033217 0
75 2 32 -0.016149 -0.000043 0.002734 0.033226 0
76 2 32 -0.016226 -0.000044 0.002592 0.033236 0
77 2 32 -0.016300 -0.000045 0.002458 0.033245 0
78 2 32 -0.016374 -0.000047 0.002331 0.033255 0
79 2 32 -0.016444 -0.000048 0.002212 0.033264 0
80 2 32 -0.016510 -0.000048 0.002100 0.033274 0
81 2 32 -0.016574 -0.000049 0.001993 0.033284 0
82 2 32 -0.016635 -0.000049 0.001891 0.033293 0
83 2 32 -0.016692 -0.000048 0.001796 0.033302 0
84 2 32 -0.016744 -0.000047 0.001704 0.033311 0
85 2 32 -0.016793 -0.000046 0.001618 0.033320 0
86 2 32 -0.016836 -0.000043 0.001535 0.033328 0
87 2 32 -0.016875 -0.000041 0.001456 0.033336 0
88 2 32 -0.016909 -0.000038 0.001380 0.033343 0
89 2 32 -0.016938 -0.000035 0.001307 0.033350 0
90 2 32 -0.016962 -0.000032 0.001237 0.033356 0
91 2 32 -0.016982 -0.000029 0.001169 0.033362 0
92 2 32 -0.016999 -0.000026 0.001104 0.033367 0
93 2 32 -0.017011 -0.000023 0.001040 0.033372 0
94 2 32 -0.017020 -0.000020 0.000979 0.033376 0
95 2 32 -0.017027 -0.000017 0.000918 0.033380 0
96 2 32 -0.017031 -0.000015 0.000859 0.033384 0
97 2 32 -0.017032 -0.000013 0.000801 0.033387 0
98 2 32 -0.017032 -0.000011 0.000745 0.033390 0
99 2 32 -0.017031 -0.000009 0.000688 0.033392 0
100 2 32 -0.017028 -0.000008 0.000633 0.033394 0
101 2 32 -0.017025 -0.000007 0.000578 0.033397 0
102 2 32 -0.017021 -0.000006 0.000523 0.033399 0
103 2 32 -0.017016 -0.000005 0.000468 0.033400 0
104 2 32 -0.017011 -0.000005 0.000414 0.033402 0
105 2 32 -0.017006 -0.000004 0.000359 0.033404 0
106 2 32 -0.017001 -0.000004 0.000303 0.033405 0
107 2 32 -0.016996 -0.000004 0.000247 0.033407 0
108 2 32 -0.016991 -0.000004 0.000191 0.033408 0
109 2 32 -0.016986 -0.000004 0.000134 0.033410 0
110 2 32 -0.016981 -0.000004 0.000076 0.033411 0
111 2 32 -0.016977 -0.000005 0.000017 0.033412 0
112 2 32 -0.016974 -0.000005 -0.000043 0.033413 0
113 2 32 -0.016971 -0.000006 -0.000105 0.033414 0
114 2 32 -0.016969 -0.000007 -0.000167 0.033415 0
115 2 32 -0.016968 -0.000008 -0.000231 0.033416 0
116 2 32 -0.016967 -0.000009 -0.000296 0.033417 0
117 2 32 -0.016968 -0.000010 -0.000363 0.033417 0
118 2 32 -0.016970 -0.000011 -0.000432 0.033418 0
119 2 32 -0.016972 -0.000013 -0.000503 0.033419 0
120 2 32 -0.016976 -0.000014 -0.000575 0.033420 0
121 2 32 -0.016980 -0.000015 -0.000651 0.033421 0
122 2 32 -0.016985 -0.000016 -0.000728 0.033422 0
123 2 32 -0.016990 -0.000017 -0.000808 0.033424 0
124 2 32 -0.016995 -0.000018 -0.000891 0.033425 0
125 2 32 -0.017000 -0.000020 -0.000977 0.033427 0
126 2 32 -0.017005 -0.000021 -0.001065 0.033429 0
127 2 32 -0.017009 -0.000022 -0.001157 0.033431 0
128 2 32 -0.017012 -0.000023 -0.001252 0.033433 0
1 3 32 0.001159 -0.000038 -0.003325 0.033436 0
2 3 32 0.001164 -0.000039 -0.003574 0.033439 0
3 3 32 0.001176 -0.000041 -0.003832 0.033441 0
4 3 32 0.001192 -0.000042 -0.004099 0.033444 0
5 3 32 0.001213 -0.000043 -0.004375 0.033447 0
6 3 32 0.001245 -0.000044 -0.004662 0.033449 0
7 3 32 0.001286 -0.000045 -0.004959 0.033452 0
8 3 32 0.001333 -0.000047 -0.005265 0.033455 0
9 3 32 0.001394 -0.000048 -0.005582 0.033457 0
10 3 32 0.001473 -0.000048 -0.005911 0.033459 0
11 3 32 0.001562 -0.000050 -0.006250 0.033462 0
12 3 32 0.001662 -0.000052 -0.006599 0.033464 0
13 3 32 0.001791 -0.000051 -0.006961 0.033465 0
14 3 32 0.001942 -0.000052 -0.007334 0.033466 0
15 3 32 0.002098 -0.000055 -0.007717 0.033468 0
16 3 32 0.002287 -0.000055 -0.008112 0.033468 0
17 3 32 0.002525 -0.000053 -0.008520 0.033467 0
18 3 32 0.002775 -0.000056 -0.008937 0.033468 0
19 3 32 0.003040 -0.000058 -0.009365 0.033469 0
20 3 32 0.003387 -0.000056 -0.009802 0.033466 0
21 3 32 0.003784 -0.000052 -0.010249 0.033466 0
22 3 32 0.004175 -0.000060 -0.010703 0.033467 0
23 3 32 0.004643 -0.000055 -0.011168 0.033464 0
24 3 32 0.005256 -0.000056 -0.011618 0.033459 0
25 3 32 0.005852 -0.000059 -0.012087 0.033462 0
26 3 32 0.006470 -0.000062 -0.012569 0.033461 0
27 3 32 0.007304 -0.000058 -0.012987 0.033450 0
28 3 32 0.008290 -0.000087 -0.013385 0.033448 0
29 3 32 0.009135 -0.000067 -0.013879 0.033452 0
30 3 32 0.010140 -0.000079 -0.014204 0.033439 0
31 3 32 0.011523 -0.000099 -0.014412 0.033424 0
32 3 32 0.012893 -0.000128 -0.014757 0.033427 0
33 3 32 0.014160 -0.000070 -0.014933 0.033416 0
34 3 32 0.015842 -0.000121 -0.014681 0.033391 0
35 3 32 0.017627 -0.000127 -0.014720 0.033383 0
36 3 32 0.019453 -0.000148 -0.014333 0.033369 0
37 3 32 0.021330 -0.000113 -0.013489 0.033342 0
38 3 32 0.023365 -0.000047 -0.012604 0.033319 0
39 3 32 0.025507 -0.000156 -0.011222 0.033294 0
40 3 32 0.027732 -0.000198 -0.009465 0.033268 0
41 3 32 0.029417 -0.000145 -0.007157 0.033239 0
42 3 32 0.030907 -0.000200 -0.004499 0.033207 0
43 3 32 0.032366 -0.000340 -0.001631 0.033178 0
44 3 32 0.033317 -0.000474 0.001639 0.033152 0
45 3 32 0.033523 -0.000575 0.004447 0.033140 0
46 3 32 0.033433 -0.000421 0.007723 0.033112 0
47 3 32 0.032548 -0.000387 0.010690 0.033085 0
48 3 32 0.031517 -0.000432 0.012852 0.033085 0
49 3 32 0.030176 -0.000356 0.015142 0.033073 0
50 3 32 0.028292 -0.000295 0.016843 0.033056 0
51 3 32 0.026407 -0.000326 0.018112 0.033059 0
52 3 32 0.024456 -0.000238 0.019069 0.033056 0
53 3 32 0.022404 -0.000250 0.019624 0.033051 0
54 3 32 0.020432 -0.000256 0.019779 0.033057 0
55 3 32 0.018545 -0.000215 0.019736 0.033058 0
56 3 32 0.016788 -0.000219 0.019433 0.033058 0
57 3 32 0.015207 -0.000221 0.018890 0.033064 0
58 3 32 0.013791 -0.000199 0.018230 0.033072 0
59 3 32 0.012511 -0.000203 0.017505 0.033077 0
60 3 32 0.011373 -0.000192 0.016702 0.033083 0
61 3 32 0.010403 -0.000187 0.015869 0.033091 0
62 3 32 0.009564 -0.000184 0.015043 0.033101 0
63 3 32 0.008806 -0.000175 0.014239 0.033109 0
64 3 32 0.008136 -0.000169 0.013459 0.033118 0
65 3 32 0.007562 -0.000166 0.012715 0.033129 0
66 3 32 0.007053 -0.000157 0.012012 0.033139 0
67 3 32 0.006586 -0.000151 0.011350 0.033148 0
68 3 32 0.006168 -0.000143 0.010727 0.033158 0
69 3 32 0.005799 -0.000136 0.010143 0.033169 0
70 3 32 0.005461 -0.000129 0.009597 0.033179 0
71 3 32 0.005146 -0.000122 0.009084 0.033188 0
72 3 32 0.004860 -0.000116 0.008602 0.033198 0
73 3 32 0.004597 -0.000111 0.008151 0.033208 0
74 3 32 0.004349 -0.000107 0.007727 0.033217 0
75 3 32 0.004114 -0.000103 0.007326 0.033226 0
76 3 32 0.003893 -0.000101 0.006948 0.033236 0
77 3 32 0.003683 -0.000100 0.006592 0.033246 0
78 3 32 0.003480 -0.000098 0.006255 0.033255 0
79 3 32 0.003286 -0.000098 0.005935 0.033265 0
80 3 32 0.003100 -0.000097 0.005633 0.033274 0
81 3 32 0.002923 -0.000097 0.005346 0.033284 0
82 3 32 0.002753 -0.000096 0.005072 0.033293 0
