bt,20.537,intel,1
cg,5.611,intel,1
ep,2.635,intel,1
ft,3.923,intel,1
is,.870,intel,1
mg,1.206,intel,1
sp,14.044,intel,1
ua,28.743,intel,1
bt,20.686,intel,2
cg,5.890,intel,2
ep,2.616,intel,2
ft,3.882,intel,2
is,.840,intel,2
mg,1.126,intel,2
sp,14.009,intel,2
ua,28.106,intel,2
bt,20.794,intel,3
cg,5.732,intel,3
ep,2.612,intel,3
ft,4.130,intel,3
is,.866,intel,3
mg,1.183,intel,3
sp,14.285,intel,3
ua,28.683,intel,3
bt,20.878,intel,4
cg,5.611,intel,4
ep,2.595,intel,4
ft,3.837,intel,4
is,.841,intel,4
mg,1.165,intel,4
sp,13.884,intel,4
ua,29.472,intel,4
bt,20.367,intel,5
cg,6.219,intel,5
ep,2.682,intel,5
ft,3.932,intel,5
is,.839,intel,5
mg,1.163,intel,5
sp,14.075,intel,5
ua,29.198,intel,5
bt,20.601,intel,6
cg,5.298,intel,6
ep,2.608,intel,6
ft,3.844,intel,6
is,.842,intel,6
mg,1.184,intel,6
sp,14.235,intel,6
ua,29.104,intel,6
bt,20.787,intel,7
cg,7.480,intel,7
ep,2.603,intel,7
ft,3.677,intel,7
is,.841,intel,7
mg,1.385,intel,7
sp,14.044,intel,7
ua,29.213,intel,7
bt,20.633,intel,8
cg,5.425,intel,8
ep,2.605,intel,8
ft,3.842,intel,8
is,.836,intel,8
mg,1.177,intel,8
sp,14.189,intel,8
ua,29.298,intel,8
bt,20.491,intel,9
cg,5.854,intel,9
ep,2.703,intel,9
ft,3.901,intel,9
is,.841,intel,9
mg,1.176,intel,9
sp,13.903,intel,9
ua,29.132,intel,9
bt,20.711,intel,10
cg,5.241,intel,10
ep,2.640,intel,10
ft,3.924,intel,10
is,.848,intel,10
mg,1.139,intel,10
sp,14.217,intel,10
ua,29.245,intel,10
