bt,107.619,ncc,1
cg,3.702,ncc,1
ep,36.581,ncc,1
ft,3.212,ncc,1
is,4.519,ncc,1
mg,.543,ncc,1
sp,64.080,ncc,1
ua,467.240,ncc,1
bt,107.631,ncc,2
cg,3.619,ncc,2
ep,36.564,ncc,2
ft,3.196,ncc,2
is,4.392,ncc,2
mg,.475,ncc,2
sp,64.117,ncc,2
ua,467.507,ncc,2
bt,107.557,ncc,3
cg,3.642,ncc,3
ep,36.482,ncc,3
ft,3.192,ncc,3
is,4.461,ncc,3
mg,.554,ncc,3
sp,64.079,ncc,3
ua,467.302,ncc,3
bt,107.661,ncc,4
cg,3.683,ncc,4
ep,36.581,ncc,4
ft,3.193,ncc,4
is,4.418,ncc,4
mg,.568,ncc,4
sp,64.073,ncc,4
ua,467.447,ncc,4
bt,107.672,ncc,5
cg,3.648,ncc,5
ep,36.479,ncc,5
ft,3.279,ncc,5
is,4.488,ncc,5
mg,.535,ncc,5
sp,64.080,ncc,5
ua,467.304,ncc,5
bt,107.619,ncc,6
cg,3.713,ncc,6
ep,36.575,ncc,6
ft,3.189,ncc,6
is,4.429,ncc,6
mg,.490,ncc,6
sp,64.135,ncc,6
ua,467.210,ncc,6
bt,107.640,ncc,7
cg,3.684,ncc,7
ep,36.549,ncc,7
ft,3.274,ncc,7
is,4.407,ncc,7
mg,.549,ncc,7
sp,64.045,ncc,7
ua,467.501,ncc,7
bt,107.685,ncc,8
cg,3.641,ncc,8
ep,36.565,ncc,8
ft,3.237,ncc,8
is,4.415,ncc,8
mg,.539,ncc,8
sp,64.025,ncc,8
ua,467.396,ncc,8
bt,107.654,ncc,9
cg,3.673,ncc,9
ep,36.510,ncc,9
ft,3.223,ncc,9
is,4.408,ncc,9
mg,.490,ncc,9
sp,64.017,ncc,9
ua,467.483,ncc,9
bt,107.599,ncc,10
cg,3.691,ncc,10
ep,36.505,ncc,10
ft,3.276,ncc,10
is,4.416,ncc,10
mg,.527,ncc,10
sp,64.110,ncc,10
ua,467.602,ncc,10
