bt,12:01:58.768-12:01:18.425,intel,0
cg,12:02:09.709-12:01:58.838,intel,0
ep,12:02:14.539-12:02:09.736,intel,0
ft,12:02:22.006-12:02:14.560,intel,0
is,12:02:23.782-12:02:22.110,intel,0
mg,12:02:26.164-12:02:23.846,intel,0
sp,12:02:52.648-12:02:26.354,intel,0
ua,12:03:43.289-12:02:52.677,intel,0
bt,12:04:24.067-12:03:43.327,intel,1
cg,12:04:37.384-12:04:24.096,intel,1
ep,12:04:42.251-12:04:37.425,intel,1
ft,12:04:49.666-12:04:42.358,intel,1
is,12:04:51.362-12:04:49.694,intel,1
mg,12:04:53.751-12:04:51.431,intel,1
sp,12:05:18.972-12:04:53.786,intel,1
ua,12:06:09.557-12:05:19.013,intel,1
bt,12:06:49.577-12:06:09.594,intel,2
cg,12:07:00.801-12:06:49.617,intel,2
ep,12:07:05.605-12:07:00.834,intel,2
ft,12:07:12.921-12:07:05.684,intel,2
is,12:07:14.638-12:07:12.959,intel,2
mg,12:07:16.966-12:07:14.667,intel,2
sp,12:07:42.313-12:07:16.995,intel,2
ua,12:08:33.696-12:07:42.351,intel,2
bt,12:09:13.827-12:08:33.731,intel,3
cg,12:09:24.195-12:09:13.855,intel,3
ep,12:09:29.003-12:09:24.226,intel,3
ft,12:09:36.404-12:09:29.038,intel,3
is,12:09:38.100-12:09:36.431,intel,3
mg,12:09:40.436-12:09:38.132,intel,3
sp,12:10:05.776-12:09:40.465,intel,3
ua,12:10:57.039-12:10:05.811,intel,3
bt,12:11:37.376-12:10:57.067,intel,4
cg,12:11:48.273-12:11:37.416,intel,4
ep,12:11:53.179-12:11:48.385,intel,4
ft,12:12:00.934-12:11:53.464,intel,4
is,12:12:02.675-12:12:01.006,intel,4
mg,12:12:05.009-12:12:02.706,intel,4
sp,12:12:30.553-12:12:05.113,intel,4
ua,12:13:21.956-12:12:30.598,intel,4
