bt,107.733,ncc,1
cg,3.671,ncc,1
ep,36.586,ncc,1
ft,3.229,ncc,1
is,4.429,ncc,1
mg,.551,ncc,1
sp,64.132,ncc,1
ua,466.691,ncc,1
bt,107.659,ncc,2
cg,3.670,ncc,2
ep,36.508,ncc,2
ft,3.241,ncc,2
is,4.524,ncc,2
mg,.552,ncc,2
sp,64.086,ncc,2
ua,466.741,ncc,2
bt,107.705,ncc,3
cg,3.704,ncc,3
ep,36.581,ncc,3
ft,3.202,ncc,3
is,4.521,ncc,3
mg,.489,ncc,3
sp,64.087,ncc,3
ua,466.660,ncc,3
bt,107.631,ncc,4
cg,3.630,ncc,4
ep,36.519,ncc,4
ft,3.220,ncc,4
is,4.522,ncc,4
mg,.485,ncc,4
sp,64.021,ncc,4
ua,466.664,ncc,4
bt,107.615,ncc,5
cg,3.713,ncc,5
ep,36.567,ncc,5
ft,3.223,ncc,5
is,4.501,ncc,5
mg,.545,ncc,5
sp,64.123,ncc,5
ua,466.657,ncc,5
bt,107.653,ncc,6
cg,3.717,ncc,6
ep,36.570,ncc,6
ft,3.213,ncc,6
is,4.408,ncc,6
mg,.483,ncc,6
sp,64.089,ncc,6
ua,466.683,ncc,6
bt,107.670,ncc,7
cg,3.684,ncc,7
ep,36.532,ncc,7
ft,3.252,ncc,7
is,4.451,ncc,7
mg,.552,ncc,7
sp,64.051,ncc,7
ua,466.890,ncc,7
bt,107.694,ncc,8
cg,3.616,ncc,8
ep,36.515,ncc,8
ft,3.273,ncc,8
is,4.507,ncc,8
mg,.521,ncc,8
sp,64.061,ncc,8
ua,466.863,ncc,8
bt,107.597,ncc,9
cg,3.626,ncc,9
ep,36.522,ncc,9
ft,3.271,ncc,9
is,4.421,ncc,9
mg,.571,ncc,9
sp,64.056,ncc,9
ua,466.793,ncc,9
bt,107.630,ncc,10
cg,3.705,ncc,10
ep,36.517,ncc,10
ft,3.234,ncc,10
is,4.438,ncc,10
mg,.479,ncc,10
sp,64.117,ncc,10
ua,466.712,ncc,10
