BT,BT,BT,90.53
89.31
228.66
CG,CG,CG,29.56
29.32
36.08
EP,EP,EP,9.81
9.76
26.66
FT,FT,FT,15.17
15.47
52.07
IS,IS,IS,1.42
1.39
3.91
MG,MG,MG,8.31
8.24
11.21
SP,SP,SP,60.48
61.40
112.88
UA,UA,UA,112.89
116.85
465.15
