bt,55.382,ncc,1
cg,2.322,ncc,1
ep,18.554,ncc,1
ft,2.069,ncc,1
is,2.245,ncc,1
mg,.647,ncc,1
sp,32.843,ncc,1
ua,256.773,ncc,1
bt,55.406,ncc,2
cg,2.292,ncc,2
ep,18.485,ncc,2
ft,2.114,ncc,2
is,2.247,ncc,2
mg,.571,ncc,2
sp,32.808,ncc,2
ua,256.786,ncc,2
bt,55.384,ncc,3
cg,2.293,ncc,3
ep,18.393,ncc,3
ft,2.025,ncc,3
is,2.292,ncc,3
mg,.583,ncc,3
sp,32.847,ncc,3
ua,256.979,ncc,3
bt,55.424,ncc,4
cg,2.282,ncc,4
ep,18.542,ncc,4
ft,2.286,ncc,4
is,2.289,ncc,4
mg,.576,ncc,4
sp,32.841,ncc,4
ua,256.887,ncc,4
bt,55.430,ncc,5
cg,2.293,ncc,5
ep,18.544,ncc,5
ft,1.879,ncc,5
is,2.334,ncc,5
mg,.555,ncc,5
sp,32.842,ncc,5
ua,256.751,ncc,5
bt,55.426,ncc,6
cg,2.295,ncc,6
ep,18.509,ncc,6
ft,1.859,ncc,6
is,2.331,ncc,6
mg,.474,ncc,6
sp,32.855,ncc,6
ua,256.755,ncc,6
bt,55.377,ncc,7
cg,2.283,ncc,7
ep,18.497,ncc,7
ft,1.905,ncc,7
is,2.288,ncc,7
mg,.474,ncc,7
sp,32.807,ncc,7
ua,256.849,ncc,7
bt,55.275,ncc,8
cg,2.297,ncc,8
ep,18.547,ncc,8
ft,2.065,ncc,8
is,2.234,ncc,8
mg,.527,ncc,8
sp,32.775,ncc,8
ua,256.746,ncc,8
bt,55.412,ncc,9
cg,2.311,ncc,9
ep,18.482,ncc,9
ft,1.898,ncc,9
is,2.298,ncc,9
mg,.617,ncc,9
sp,32.820,ncc,9
ua,256.692,ncc,9
bt,55.307,ncc,10
cg,2.289,ncc,10
ep,18.439,ncc,10
ft,2.115,ncc,10
is,2.315,ncc,10
mg,.639,ncc,10
sp,32.796,ncc,10
ua,256.973,ncc,10
