BT,BT,BT,90.52
90.58
224.13
CG,CG,CG,29.34
28.98
33.53
EP,EP,EP,9.70
9.75
24.72
FT,FT,FT,16.80
17.26
50.91
IS,IS,IS,1.39
1.38
3.88
MG,MG,MG,5.23
5.32
7.63
SP,SP,SP,62.43
61.60
115.12
UA,UA,UA,114.91
117.88
458.00
