BT,BT,BT,91.03
90.83
221.03
CG,CG,CG,28.80
28.43
36.60
EP,EP,EP,9.69
9.75
23.83
FT,FT,FT,16.66
17.53
51.56
IS,IS,IS,1.39
1.39
3.85
MG,MG,MG,5.64
5.45
7.43
SP,SP,SP,61.26
62.82
116.21
UA,UA,UA,114.66
117.41
447.21
