bt,55.529,ncc,1
cg,2.291,ncc,1
ep,18.477,ncc,1
ft,1.884,ncc,1
is,2.337,ncc,1
mg,.597,ncc,1
sp,32.833,ncc,1
ua,254.305,ncc,1
bt,55.405,ncc,2
cg,2.355,ncc,2
ep,18.481,ncc,2
ft,2.002,ncc,2
is,2.391,ncc,2
mg,.476,ncc,2
sp,32.839,ncc,2
ua,254.250,ncc,2
bt,55.478,ncc,3
cg,2.205,ncc,3
ep,18.505,ncc,3
ft,2.290,ncc,3
is,2.457,ncc,3
mg,.651,ncc,3
sp,32.829,ncc,3
ua,254.372,ncc,3
bt,55.380,ncc,4
cg,2.292,ncc,4
ep,18.523,ncc,4
ft,1.948,ncc,4
is,2.473,ncc,4
mg,.654,ncc,4
sp,32.789,ncc,4
ua,254.245,ncc,4
bt,55.408,ncc,5
cg,2.353,ncc,5
ep,18.460,ncc,5
ft,1.957,ncc,5
is,2.398,ncc,5
mg,.605,ncc,5
sp,32.844,ncc,5
ua,254.251,ncc,5
bt,55.480,ncc,6
cg,2.281,ncc,6
ep,18.517,ncc,6
ft,2.040,ncc,6
is,2.465,ncc,6
mg,.662,ncc,6
sp,32.795,ncc,6
ua,254.408,ncc,6
bt,55.527,ncc,7
cg,2.299,ncc,7
ep,18.457,ncc,7
ft,2.058,ncc,7
is,2.366,ncc,7
mg,.553,ncc,7
sp,32.832,ncc,7
ua,254.143,ncc,7
bt,55.528,ncc,8
cg,2.405,ncc,8
ep,18.463,ncc,8
ft,2.106,ncc,8
is,2.357,ncc,8
mg,.641,ncc,8
sp,32.821,ncc,8
ua,254.297,ncc,8
bt,55.470,ncc,9
cg,2.297,ncc,9
ep,18.508,ncc,9
ft,2.027,ncc,9
is,2.353,ncc,9
mg,.608,ncc,9
sp,32.811,ncc,9
ua,254.310,ncc,9
bt,55.460,ncc,10
cg,2.298,ncc,10
ep,18.517,ncc,10
ft,2.281,ncc,10
is,2.449,ncc,10
mg,.553,ncc,10
sp,32.730,ncc,10
ua,254.407,ncc,10
