bt,20.692,intel,1
cg,5.641,intel,1
ep,3.687,intel,1
ft,3.908,intel,1
is,.870,intel,1
mg,1.187,intel,1
sp,13.995,intel,1
ua,29.518,intel,1
bt,20.763,intel,2
cg,5.395,intel,2
ep,2.602,intel,2
ft,3.964,intel,2
is,.864,intel,2
mg,2.113,intel,2
sp,14.281,intel,2
ua,29.184,intel,2
bt,20.759,intel,3
cg,5.616,intel,3
ep,2.677,intel,3
ft,3.860,intel,3
is,.836,intel,3
mg,1.177,intel,3
sp,14.278,intel,3
ua,28.217,intel,3
bt,20.645,intel,4
cg,5.918,intel,4
ep,2.606,intel,4
ft,3.841,intel,4
is,.841,intel,4
mg,1.155,intel,4
sp,13.927,intel,4
ua,29.117,intel,4
bt,20.845,intel,5
cg,7.081,intel,5
ep,2.607,intel,5
ft,3.865,intel,5
is,.844,intel,5
mg,1.176,intel,5
sp,14.012,intel,5
ua,29.143,intel,5
bt,20.908,intel,6
cg,6.027,intel,6
ep,2.630,intel,6
ft,3.932,intel,6
is,.844,intel,6
mg,1.171,intel,6
sp,13.530,intel,6
ua,29.165,intel,6
bt,20.558,intel,7
cg,5.558,intel,7
ep,2.595,intel,7
ft,3.844,intel,7
is,.835,intel,7
mg,1.126,intel,7
sp,13.878,intel,7
ua,29.341,intel,7
bt,20.529,intel,8
cg,5.386,intel,8
ep,2.599,intel,8
ft,3.975,intel,8
is,.838,intel,8
mg,1.183,intel,8
sp,13.685,intel,8
ua,28.821,intel,8
bt,20.523,intel,9
cg,5.770,intel,9
ep,2.600,intel,9
ft,3.905,intel,9
is,.862,intel,9
mg,1.176,intel,9
sp,14.244,intel,9
ua,29.350,intel,9
bt,20.938,intel,10
cg,5.825,intel,10
ep,4.497,intel,10
ft,3.914,intel,10
is,.840,intel,10
mg,1.148,intel,10
sp,13.648,intel,10
ua,29.284,intel,10
